order_id,customer_id,sku_id,data_pedido,canal,categoria,produto,quantidade,preco_unitario,receita_bruta,desconto_reais,receita_liquida,custo_produto,custo_frete,metodo_pagamento,status_pagamento,margem_contribuicao,tempo_entrega_real,devolvido,motivo_devolucao,desconto_pct,tem_desconto,desconto_acima_25,faixa_desconto,frete_gratis,mk_elegivel_nao_subsidiado,faixa_ticket,cmv_pct,frete_pct,desconto_sobre_bruta_pct,margem_pct,margem_negativa,ano,mes,ano_mes,margem_realizada,receita_realizada,idx_sazonal
ORD-071535,CLI-09097,SKU-00534,2023-01-02 00:05:30,Email Marketing,Moda,Vestido Slim Branco,3.0,234.6,703.8,0.0,703.8,212.68,0.0,PIX,Aprovado,491.12,3.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,30.218812162546183,0.0,0.0,69.78118783745383,False,2023,1,2023-01,491.12,703.8,62.4
ORD-077422,CLI-06160,SKU-04498,2023-01-02 00:42:22,Marketplace,Beleza,Óleo Corporal Luxo Branco,5.0,96.82,484.1,0.0,484.1,178.12,27.51,Boleto,Aprovado,278.47,10.0,False,Não se aplica,0.0,False,False,0%,False,True,300-500,36.79405081594712,5.682710183846313,0.0,57.52323900020657,False,2023,1,2023-01,278.47,484.1,62.4
ORD-048933,CLI-01729,SKU-03083,2023-01-02 00:47:36,Email Marketing,Acessórios,Chapéu Artesanal Bege,1.0,133.05,133.05,35.85,97.2,45.86,28.58,Cartão de Crédito,Aprovado,22.76,3.0,False,Não se aplica,26.944757609921083,True,True,25-30%,False,False,<100,47.18106995884773,29.403292181069958,26.944757609921083,23.415637860082306,False,2023,1,2023-01,22.76,97.2,62.4
ORD-050794,CLI-05277,SKU-04454,2023-01-02 00:54:44,Influenciador,Moda,Camiseta Urban Branco,4.0,110.78,443.12,147.04,296.08,150.53,0.0,PIX,Aprovado,145.55,8.0,False,Não se aplica,33.18288499729193,True,True,>30%,True,False,250-300,50.840988921913,0.0,33.18288499729193,49.15901107808701,False,2023,1,2023-01,145.55,296.08,62.4
ORD-053691,CLI-02474,SKU-01348,2023-01-02 01:57:33,Google Ads,Moda,Camiseta Artesanal Verde,2.0,247.33,494.66,0.0,494.66,179.41,0.0,Cartão de Crédito,Aprovado,315.25,14.0,False,Não se aplica,0.0,False,False,0%,True,False,300-500,36.269356729875064,0.0,0.0,63.73064327012493,False,2023,1,2023-01,315.25,494.66,62.4
ORD-063558,CLI-07957,SKU-01705,2023-01-02 02:01:05,Marketplace,Moda,Camiseta Clássico Prata,6.0,271.04,1626.24,365.07,1261.17,611.42,44.96,Cartão de Crédito,Aprovado,604.79,17.0,False,Não se aplica,22.4487160566706,True,False,20-25%,False,True,>1000,48.480379330304395,3.564943663423646,22.4487160566706,47.95467700627195,False,2023,1,2023-01,604.79,1261.17,62.4
ORD-022739,CLI-01729,SKU-04407,2023-01-02 03:03:03,Google Ads,Beleza,Blush Delicado Vermelho,5.0,394.73,1973.65,0.0,1973.65,911.24,0.0,PIX,Aprovado,1062.41,8.0,True,Tamanho errado,0.0,False,False,0%,True,False,>1000,46.17029361842272,0.0,0.0,53.82970638157728,False,2023,1,2023-01,-911.24,0.0,62.4
ORD-017309,CLI-11830,SKU-02288,2023-01-02 03:14:03,Marketplace,Acessórios,Óculos de Sol Básico Bege,6.0,174.57,1047.42,126.07,921.35,377.47,45.69,Cartão de Crédito,Aprovado,498.19,7.0,False,Não se aplica,12.036241431326495,True,False,10-20%,False,True,500-1000,40.96922993433549,4.95902751397406,12.036241431326495,54.07174255169045,False,2023,1,2023-01,498.19,921.35,62.4
ORD-034674,CLI-01729,SKU-03463,2023-01-02 04:16:06,Marketplace,Beleza,Óleo Corporal Edição Limitada Bege,6.0,230.22,1381.32,0.0,1381.32,612.93,7.98,Boleto,Aprovado,760.41,6.0,False,Não se aplica,0.0,False,False,0%,False,True,>1000,44.37277386847363,0.5777082790374425,0.0,55.049517852488925,False,2023,1,2023-01,760.41,1381.32,62.4
ORD-004979,CLI-01729,SKU-02758,2023-01-02 04:22:53,Email Marketing,Beleza,Condicionador Sustentável Rosa,3.0,276.04,828.12,0.0,828.12,312.79,0.0,PIX,Aprovado,515.33,13.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,37.77109597642854,0.0,0.0,62.22890402357146,False,2023,1,2023-01,515.33,828.12,62.4
ORD-039055,CLI-01729,SKU-00604,2023-01-02 04:35:22,Email Marketing,Acessórios,Pulseira Oversize Vermelho,5.0,450.05,2250.25,0.0,2250.25,920.6,0.0,Cartão de Crédito,Aprovado,1329.65,10.0,False,Não se aplica,0.0,False,False,0%,True,False,>1000,40.91100988779024,0.0,0.0,59.08899011220976,False,2023,1,2023-01,1329.65,2250.25,62.4
ORD-068496,CLI-11830,SKU-00060,2023-01-02 06:01:23,Orgânico,Moda,Blusa de Tricô Edição Limitada Bege,2.0,249.88,499.76,0.0,499.76,192.26,0.0,Cartão de Crédito,Aprovado,307.5,11.0,False,Não se aplica,0.0,False,False,0%,True,False,300-500,38.470465823595326,0.0,0.0,61.529534176404674,False,2023,1,2023-01,307.5,499.76,62.4
ORD-072403,CLI-14211,SKU-03111,2023-01-02 06:47:03,Google Ads,Lifestyle,Caderno Urban Branco,5.0,280.31,1401.55,0.0,1401.55,566.4,0.0,PIX,Aprovado,835.15,9.0,True,Produto com defeito,0.0,False,False,0%,True,False,>1000,40.4124005565267,0.0,0.0,59.587599443473295,False,2023,1,2023-01,-566.4,0.0,62.4
ORD-050830,CLI-01729,SKU-04179,2023-01-02 07:10:04,Google Ads,Moda,Top Delicado Dourado,4.0,377.22,1508.88,0.0,1508.88,534.69,0.0,Cartão de Crédito,Aprovado,974.19,8.0,False,Não se aplica,0.0,False,False,0%,True,False,>1000,35.43621759185621,0.0,0.0,64.5637824081438,False,2023,1,2023-01,974.19,1508.88,62.4
ORD-007796,CLI-11830,SKU-04294,2023-01-02 07:57:21,TikTok Ads,Moda,Jaqueta Oversize Azul,2.0,98.14,196.28,35.39,160.89,75.1,7.66,PIX,Aprovado,78.13,8.0,False,Não se aplica,18.03036478500102,True,False,10-20%,False,False,100-200,46.677854434706944,4.7610168438063285,18.03036478500102,48.56112872148673,False,2023,1,2023-01,78.13,160.89,62.4
ORD-039721,CLI-11830,SKU-04052,2023-01-02 08:10:40,Orgânico,Moda,Blusa de Tricô Oversize Branco,5.0,194.82,974.1,0.0,974.1,411.61,0.0,Cartão de Crédito,Aprovado,562.49,12.0,True,Tamanho errado,0.0,False,False,0%,True,False,500-1000,42.25541525510728,0.0,0.0,57.74458474489273,False,2023,1,2023-01,-411.61,0.0,62.4
ORD-049132,CLI-11830,SKU-02324,2023-01-02 08:52:46,Email Marketing,Moda,Camisa Social Luxo Bege,3.0,230.37,691.11,0.0,691.11,283.22,0.0,PIX,Aprovado,407.89,7.0,False,Não se aplica,0.0,False,False,0%,True,False,500-1000,40.980451737060676,0.0,0.0,59.019548262939324,False,2023,1,2023-01,407.89,691.11,62.4
ORD-059844,CLI-01729,SKU-03556,2023-01-02 09:35:23,Marketplace,Beleza,Esfoliante Moderno Prata,6.0,135.16,810.96,0.0,810.96,319.38,44.89,Boleto,Aprovado,446.69,9.0,False,Não se aplica,0.0,False,False,0%,False,True,500-1000,39.38295353654927,5.535414817007004,0.0,55.08163164644372,False,2023,1,2023-01,446.69,810.96,62.4
ORD-056072,CLI-11830,SKU-00548,2023-01-02 09:55:29,Google Ads,Beleza,Sérum Facial Sport Azul,2.0,154.86,309.72,0.0,309.72,139.65,0.0,Cartão de Crédito,Aprovado,170.07,8.0,False,Não se aplica,0.0,False,False,0%,True,False,300-500,45.08911274699729,0.0,0.0,54.910887253002706,False,2023,1,2023-01,170.07,309.72,62.4
ORD-019506,CLI-01729,SKU-00635,2023-01-02 10:22:20,TikTok Ads,Moda,Saia Clássico Prata,5.0,301.57,1507.85,0.0,1507.85,746.04,0.0,Cartão de Crédito,Aprovado,761.81,14.0,False,Não se aplica,0.0,False,False,0%,True,False,>1000,49.477070000331594,0.0,0.0,50.5229299996684,False,2023,1,2023-01,761.81,1507.85,62.4
ORD-007733,CLI-11830,SKU-03795,2023-01-02 11:49:22,Email Marketing,Lifestyle,Vela Aromática Artesanal Bege,4.0,59.67,238.68,0.0,238.68,108.37,5.06,Cartão de Crédito,Aprovado,125.25,11.0,False,Não se aplica,0.0,False,False,0%,False,False,200-250,45.403888050946875,2.1199932964638846,0.0,52.47611865258924,False,2023,1,2023-01,125.25,238.68,62.4
ORD-033146,CLI-11830,SKU-04632,2023-01-02 12:54:42,TikTok Ads,Moda,Regata Artesanal Nude,4.0,221.07,884.28,94.53,789.75,286.21,0.0,Cartão de Crédito,Aprovado,503.54,2.0,False,Não se aplica,10.690052924413083,True,False,10-20%,True,False,500-1000,36.24058246280468,0.0,10.690052924413083,63.75941753719532,False,2023,1,2023-01,503.54,789.75,62.4
ORD-043614,CLI-05277,SKU-00295,2023-01-02 13:08:27,TikTok Ads,Beleza,Base Líquida Moderno Vermelho,4.0,76.09,304.36,19.77,284.59,124.26,0.0,PIX,Aprovado,160.33,14.0,False,Não se aplica,6.495597318964384,True,False,0-10%,True,False,250-300,43.66281316982326,0.0,6.495597318964384,56.337186830176755,False,2023,1,2023-01,160.33,284.59,62.4
